iter	R2	RMSE
0	0.0459862996	300.3151241
1	0.08819442458	293.5965988
2	0.1294770818	286.8732166
3	0.165679658	280.8447532
4	0.2021559387	274.6369117
5	0.2371107052	268.5534023
6	0.2723001448	262.2865633
7	0.3051356672	256.3007685
8	0.3354225412	250.6528816
9	0.3639682376	245.2106341
10	0.3900583407	240.1286873
11	0.4146153201	235.2450937
12	0.4373183589	230.6382165
13	0.4604984336	225.8376018
14	0.4817551545	221.3438165
15	0.5014182048	217.1041409
16	0.5201970178	212.9763451
17	0.5387781515	208.8117025
18	0.5557276368	204.9389692
19	0.572062067	201.1362231
20	0.5881541478	197.3182461
21	0.603400242	193.6315495
22	0.6169496272	190.2952041
23	0.6304182812	186.9197273
24	0.643755917	183.5159128
25	0.655144315	180.5587724
26	0.6660580442	177.6787097
27	0.6777486282	174.54093
28	0.6882918987	171.6619111
29	0.6974646525	169.1172704
30	0.7074446122	166.30448
31	0.7163689611	163.7482911
32	0.7243760285	161.4203897
33	0.7324627212	159.0347575
34	0.7396872208	156.872798
35	0.7465580759	154.7886551
36	0.7529150955	152.8350646
37	0.7595527288	150.768226
38	0.7661174606	148.6958332
39	0.7718966869	146.8472084
40	0.777507587	145.0298846
41	0.7828906166	143.2647002
42	0.7879370545	141.5899059
43	0.792348527	140.109443
44	0.7971608132	138.4764205
45	0.8016026182	136.9518385
46	0.8054755746	135.6085177
47	0.8096723134	134.1377085
48	0.8132518108	132.8703558
49	0.8165956485	131.6754212
50	0.8205489031	130.248568
51	0.8241306867	128.9421574
52	0.8275888133	127.6681658
53	0.8308872131	126.4410582
54	0.8334572545	125.4766046
55	0.8359532922	124.5327728
56	0.8389012865	123.4087446
57	0.8418931676	122.2574174
58	0.8440365017	121.4259143
59	0.8466033866	120.4225403
60	0.8488081675	119.553987
61	0.8508492439	118.7442607
62	0.8527546244	117.9833519
63	0.8547092686	117.1976365
64	0.8564966701	116.4745088
65	0.8580859222	115.8277548
66	0.8600776639	115.0120705
67	0.8613759488	114.477251
68	0.862995964	113.806372
69	0.8645904414	113.1421845
70	0.8660865059	112.5154261
71	0.8674810983	111.9280177
72	0.8687435114	111.3936127
73	0.869956413	110.8777408
74	0.8713713011	110.2729103
75	0.8723349769	109.8590559
76	0.8737465323	109.2500278
77	0.8750333692	108.691837
78	0.8762289295	108.1706581
79	0.8772860765	107.7077167
80	0.8784089183	107.2138174
81	0.8795679725	106.7015915
82	0.880393477	106.3352683
83	0.8812167478	105.968675
84	0.8820571041	105.5931612
85	0.8830505317	105.1475177
86	0.8838363815	104.7936493
87	0.8846154944	104.441631
88	0.8855438822	104.0206119
89	0.8861681196	103.7365626
90	0.8869099533	103.3979885
91	0.887967576	102.9133617
92	0.8887058923	102.5736912
93	0.8892683873	102.3141525
94	0.8898288961	102.0548735
95	0.8904272266	101.7773703
96	0.8909923999	101.5145485
97	0.8916242072	101.2199322
98	0.8921147264	100.9906069
99	0.8927570117	100.6895389
100	0.893355479	100.4081978
101	0.8938026002	100.1974895
102	0.8942276929	99.99675044
103	0.894609683	99.81602109
104	0.8949724595	99.64407871
105	0.8954400958	99.42199804
106	0.8958042487	99.24871752
107	0.8963012968	99.01171
108	0.8968989768	98.72596471
109	0.897559897	98.40901879
110	0.897962926	98.21524325
111	0.8983712922	98.01851086
112	0.8988642447	97.7805013
113	0.8991954356	97.62026834
114	0.8995467007	97.45003534
115	0.8998494134	97.30309333
116	0.9001566375	97.15373418
117	0.9006155737	96.93019043
118	0.9010131666	96.73610884
119	0.9013252841	96.58347807
120	0.9017382225	96.38117272
121	0.9019917511	96.25675424
122	0.9023020608	96.10425133
123	0.9025501173	95.98216876
124	0.9028654408	95.82675574
125	0.9031857798	95.66861224
126	0.9034711865	95.52749346
127	0.9037630591	95.38296166
128	0.9040974166	95.21712221
129	0.9044615142	95.03620272
130	0.9047581624	94.88854374
131	0.9049543263	94.79077525
132	0.9052075623	94.66441255
133	0.9054181617	94.55919662
134	0.9058342587	94.35096863
135	0.905993631	94.27109196
136	0.9061226147	94.2063963
137	0.9063962976	94.06897502
138	0.9065091044	94.01227418
139	0.9066450395	93.94390273
140	0.9068882294	93.82146087
141	0.9070340284	93.74797699
142	0.9072144433	93.65696656
143	0.9073530878	93.58696708
144	0.9076050355	93.45962841
145	0.9078175218	93.35209916
146	0.9079619537	93.27893822
147	0.9080906474	93.21370103
148	0.9083957468	93.05885779
149	0.9087265353	92.89068525
150	0.9088457736	92.82998992
151	0.9090751631	92.71311305
152	0.9092981558	92.59935402
153	0.9095820363	92.4543308
154	0.909864566	92.30977141
155	0.910190879	92.14252756
156	0.9102813039	92.09612875
157	0.9104798341	91.99417682
158	0.9106327837	91.91555493
159	0.9109632876	91.74543334
160	0.9113811333	91.52990134
161	0.9115019953	91.46746395
162	0.9117435182	91.34256519
163	0.9118933418	91.26500103
164	0.9121092202	91.15312397
165	0.9122751153	91.06705695
166	0.9126198067	90.88796904
167	0.9128033286	90.7924743
168	0.9129557437	90.71308941
169	0.9131955246	90.58805954
170	0.9134479115	90.45626976
171	0.9135909135	90.38151258
172	0.9137579062	90.29413552
173	0.9139830689	90.17618754
174	0.9141675216	90.07944981
175	0.9143971788	89.95885878
176	0.9145827407	89.86130361
177	0.9148263023	89.7330954
178	0.9151240935	89.57609202
179	0.9152846334	89.49133681
180	0.9154654156	89.39579878
181	0.9155924865	89.32858442
182	0.9157012675	89.27100431
183	0.9158757238	89.17858328
184	0.9160092596	89.10777573
185	0.9160926981	89.06350379
186	0.916361841	88.92054805
187	0.9166132385	88.78680988
188	0.9167408354	88.71885392
189	0.9168368003	88.6677103
190	0.9170543721	88.55164797
191	0.9171815435	88.48373866
192	0.9172926751	88.42435193
193	0.9174508619	88.33975084
194	0.9175664561	88.27787775
195	0.9178893654	88.10480669
196	0.91797999	88.0561731
197	0.9181772897	87.95019947
198	0.9182969081	87.88588785
199	0.9184254642	87.81671839
200	0.9185481383	87.75066292
201	0.9186850369	87.67688932
202	0.9189556958	87.53085031
203	0.919096055	87.45502087
204	0.9192590471	87.36688143
205	0.9194433037	87.26713572
206	0.9195885564	87.18842409
207	0.9197119207	87.12151775
208	0.9200240569	86.95200156
209	0.9201738452	86.87053645
210	0.9202567385	86.82542056
211	0.9203930907	86.75115784
212	0.9205495296	86.66587671
213	0.9206510038	86.61051419
214	0.9207581736	86.5520058
215	0.920977186	86.43231469
216	0.9211653038	86.32937515
217	0.9214132468	86.193511
218	0.921538762	86.12465131
219	0.9216393495	86.06942761
220	0.9219535012	85.89672606
221	0.9221162893	85.80709827
222	0.9222385583	85.73971791
223	0.9223836846	85.65967248
224	0.9225005014	85.59518693
225	0.9225918838	85.5447079
226	0.9226822848	85.49474166
227	0.9229252936	85.36028139
228	0.9230091922	85.31380983
229	0.9230909561	85.26849637
230	0.9232690187	85.1697308
231	0.9234204972	85.08562033
232	0.9235149976	85.0331056
233	0.9236674385	84.94832435
234	0.9238121306	84.86777428
235	0.923965521	84.78229833
236	0.924090478	84.71260299
237	0.9242037506	84.6493751
238	0.9243594977	84.5623611
239	0.9245438435	84.45925345
240	0.9247438961	84.34721816
241	0.9248624315	84.28076457
242	0.9249781399	84.21584531
243	0.9250504733	84.17523661
244	0.9251830146	84.10077557
245	0.9252607647	84.0570653
246	0.9253405779	84.01217154
247	0.9254437451	83.95410587
248	0.9256524992	83.83648962
249	0.9258048863	83.75052743
250	0.9259181219	83.68659357
251	0.9260995898	83.58403311
252	0.9262873994	83.4777558
253	0.9264112146	83.40761747
254	0.9265256446	83.34274312
255	0.9266553946	83.2691222
256	0.9267341844	83.22438463
257	0.926853284	83.15671309
258	0.9270290796	83.05672655
259	0.9271403695	82.99336634
260	0.9272168039	82.94982227
261	0.9272828973	82.91215089
262	0.9273408007	82.87913355
263	0.9274393399	82.82291486
